type,name,module,path,hash
"csv","agent-manifest","_config","_config/agent-manifest.csv","577b25455c05a712c0ada8fbd67596204552309c383c443a9e43da3e07465c63"
"yaml","manifest","_config","_config/manifest.yaml","fb7dd14365b6c6c0d5143b0d649f96388533c11893390ad82465db91c6698aa4"
"csv","design-methods","cis","cis/skills/bmad-cis-design-thinking/design-methods.csv","6735e9777620398e35b7b8ccb21e9263d9164241c3b9973eb76f5112fb3a8fc9"
"csv","innovation-frameworks","cis","cis/skills/bmad-cis-innovation-strategy/innovation-frameworks.csv","9a14473b1d667467172d8d161e91829c174e476a030a983f12ec6af249c4e42f"
"csv","module-help","cis","cis/module-help.csv","5fb4d618cb50646b4f5e87b4c6568bbcebc4332a9d4c1b767299b55bf2049afb"
"csv","solving-methods","cis","cis/skills/bmad-cis-problem-solving/solving-methods.csv","aa15c3a862523f20c199600d8d4d0a23fce1001010d7efc29a71abe537d42995"
"csv","story-types","cis","cis/skills/bmad-cis-storytelling/story-types.csv","ec5a3c713617bf7e2cf7db439303dd8f3363daa2f6db20a350c82260ade88bdb"
"md","SKILL","cis","cis/skills/bmad-cis-agent-brainstorming-coach/SKILL.md","99559ec54224f01db509ad5ca4234d623b94ee3a1949c7d4d0a480670b73bd52"
"md","SKILL","cis","cis/skills/bmad-cis-agent-creative-problem-solver/SKILL.md","139a0a0673d9c9cc7ce74aa62c3d1f46af09ae4b846280a52905a6d94c154f24"
"md","SKILL","cis","cis/skills/bmad-cis-agent-design-thinking-coach/SKILL.md","931ece9164ddb636bf4d85a052fe862f835219a4369383a3dd39afdc356f40e7"
"md","SKILL","cis","cis/skills/bmad-cis-agent-innovation-strategist/SKILL.md","f0c8a465f72046838722ff2989fe67c3b60265d087d3b7292ea0db1da496c60d"
"md","SKILL","cis","cis/skills/bmad-cis-agent-presentation-master/SKILL.md","898b56e7b8449f293d8522abe9bd78de9f331d11cfeb5411f00e45466557d776"
"md","SKILL","cis","cis/skills/bmad-cis-agent-storyteller/SKILL.md","2794a50b7936deb100f5de4eaddd5b3b94bcdffee5670ab2ae231675ad3acd55"
"md","SKILL","cis","cis/skills/bmad-cis-design-thinking/SKILL.md","3851c14c9a53828692fffc14c484e435adcd5452e2c8bed51f7c5dd54218e02e"
"md","SKILL","cis","cis/skills/bmad-cis-innovation-strategy/SKILL.md","9a4a90e4b81368ad09fe51a62fde1cc02aa176c828170b077c953c0b0b2f303d"
"md","SKILL","cis","cis/skills/bmad-cis-problem-solving/SKILL.md","d78b21e22a866da35f84b8aca704ef292c0d8b3444e30a79c82bca2f3af174f8"
"md","SKILL","cis","cis/skills/bmad-cis-storytelling/SKILL.md","2cfd311821f5ca76a4ad8338b58eb51da6bb508d8bb84ee2b5eb25ca816a3cd6"
"md","stories-told","cis","cis/skills/bmad-cis-agent-storyteller/stories-told.md","47ee9e599595f3d9daf96d47bcdacf55eeb69fbe5572f6b08a8f48c543bc62de"
"md","story-preferences","cis","cis/skills/bmad-cis-agent-storyteller/story-preferences.md","b70dbb5baf3603fdac12365ef24610685cba3b68a9bc41b07bbe455cbdcc0178"
"md","template","cis","cis/skills/bmad-cis-design-thinking/template.md","7834c387ac0412c841b49a9fcdd8043f5ce053e5cb26993548cf4d31b561f6f0"
"md","template","cis","cis/skills/bmad-cis-innovation-strategy/template.md","e59bd789df87130bde034586d3e68bf1847c074f63d839945e0c29b1d0c85c82"
"md","template","cis","cis/skills/bmad-cis-problem-solving/template.md","6c9efd7ac7b10010bd9911db16c2fbdca01fb0c306d871fa6381eef700b45608"
